Timestamp,Filepath,Duration_sec,Sample_rate,Num_samples,Is_supported
2022-06-02 07:41:28,learn_dataset/1654155688.555286.wav,399.44,8000.0,3195520.0,True
2022-06-02 07:54:17,learn_dataset/1654156457.555676.wav,434.34,8000.0,3474720.0,True
2022-06-02 08:00:06,learn_dataset/1654156806.555860.wav,165.12,8000.0,1320960.0,True
2022-06-02 08:17:08,learn_dataset/1654157828.556349.wav,42.46,8000.0,339680.0,True
2022-06-02 08:18:53,learn_dataset/1654157933.556445.wav,162.38,8000.0,1299040.0,True
2022-06-02 08:36:51,learn_dataset/1654159011.557000.wav,33.32,8000.0,266560.0,True
2022-06-02 08:37:12,learn_dataset/1654159032.557021.wav,8.96,8000.0,71680.0,True
2022-06-02 08:41:12,learn_dataset/1654159272.557145.wav,59.72,8000.0,477760.0,True
2022-06-02 08:44:53,learn_dataset/1654159493.557285.wav,123.16,8000.0,985280.0,True
2022-06-02 09:25:55,learn_dataset/1654161955.558383.wav,2.92,8000.0,23360.0,True
2022-06-02 09:27:04,learn_dataset/1654162024.558411.wav,23.48,8000.0,187840.0,True
2022-06-02 09:47:43,learn_dataset/1654163263.558918.wav,587.78,8000.0,4702240.0,True
2022-06-02 09:48:42,learn_dataset/1654163322.558946.wav,23.58,8000.0,188640.0,True
2022-06-02 10:04:20,learn_dataset/1654164260.559431.wav,85.98,8000.0,687840.0,True
2022-06-02 10:05:54,learn_dataset/1654164354.559493.wav,40.68,8000.0,325440.0,True
2022-06-02 10:07:03,learn_dataset/1654164423.559533.wav,401.5,8000.0,3212000.0,True
2022-06-02 10:12:56,learn_dataset/1654164776.559689.wav,176.02,8000.0,1408160.0,True
2022-06-02 10:16:07,learn_dataset/1654164967.559769.wav,37.82,8000.0,302560.0,True
2022-06-02 10:17:39,learn_dataset/1654165059.559815.wav,13.82,8000.0,110560.0,True
2022-06-02 11:48:05,learn_dataset/1654170485.562220.wav,782.46,8000.0,6259680.0,True
2022-06-02 11:53:25,learn_dataset/1654170805.562286.wav,64.1,8000.0,512800.0,True
